"Genotype","Run","Treatment","Composite_Week3","Composite_Week6","Composite_Score_Weighted"
"CN 34002","Run1","Control",0.0922993507264428,0.283030676541272,0.206738146215341
"CN 105202","Run1","Control",0.222999017950492,0.139171780848737,0.172702675689439
"CN 101809","Run1","Control",0.362887153139437,-0.0217316802263802,0.132115853119947
"CN 105230","Run1","Control",0.0217568879152901,0.103689542757986,0.0709164808209077
"CN 101810","Run1","Control",0.24784783887812,-0.0643456889262242,0.0605317221955135
"CN 101789","Run1","Control",0.0512292729731596,0.0384592816915562,0.0435672782041976
"CN 101762","Run1","Control",-0.0371318981649151,0.0777495564815846,0.0317969746229847
"CN 105244","Run1","Control",-0.320354856245273,0.172585250786918,-0.0245907920259587
"CN 105251","Run1","Control",0.201532849185001,-0.195501004678541,-0.0366874631331245
"CN 105246","Run1","Control",0.0997367589185825,-0.141373264410045,-0.0449292550785942
"CN 101744","Run1","Control",0.109407346153429,-0.160249385062257,-0.0523866925759824
"CN 105213","Run1","Control",0.0605168691789659,-0.128784921189517,-0.0530642050421236
"CN 105216","Run1","Control",0.150432698570081,-0.194579012200829,-0.0565743278924648
"CN 101847","Run1","Control",0.114465837951382,-0.188170818192057,-0.0671161557346814
"CN 101855","Run1","Control",-0.153632194115109,-0.0358229342607857,-0.0829466382025152
"CN 39633","Run1","Control",-0.345283608761447,0.0439307872889665,-0.111754971131199
"CN 105228","Run1","Control",0.132629492924017,-0.283003931305677,-0.116750561613799
"CN 105263","Run1","Control",0.0851791804530735,-0.271751991598246,-0.128979522777718
"CN 101827","Run1","Control",-0.0327783212791409,-0.202325909438729,-0.134506874174893
"CN 105276","Run1","Control",0.148697694452949,-0.346102149955618,-0.148182212192191
"CN 101787","Run1","Control",0.198887444128389,-0.381430194609872,-0.149303139114568
"CN 105215","Run1","Control",0.0231830350905756,-0.288375525901124,-0.163752101504444
"CN 101733","Run1","Control",-0.178462421922184,-0.206112752041361,-0.19505261999369
"CN 101724","Run1","Control",0.0329541562996792,-0.347779921099258,-0.195486290139683
"CN 105257","Run1","Control",0.149779014341988,-0.47490157581575,-0.225029339752655
"CN 101773","Run1","Control",0.00799210444749766,-0.408817489157319,-0.242093651715392
"CN 105238","Run1","Control",0.0344280711688561,-0.440112419636592,-0.250296223314413
"CN 39628","Run1","Control",-0.14969560668015,-0.322424880101867,-0.25333317073318
"CN 105242","Run1","Control",-0.538765481683717,-0.122182097231998,-0.288815451012686
"CN 105273","Run1","Control",-0.0723081975686736,-0.499009718332165,-0.328329110026769
"CN 36098","Run1","Saline",NA,0.461122878111628,0.461122878111628
"CN 101800","Run1","Saline",0.292369764630282,0.391790736756363,0.352022347905931
"CN 105240","Run1","Saline",0.0955135843905394,0.515278551420798,0.347372564608695
"CN 84075","Run1","Saline",0.513305008615341,0.227071458108209,0.341564878311062
"CN 101828","Run1","Saline",0.36741011692785,0.316767970162005,0.337024828868343
"CN 101721","Run1","Saline",0.443238540770885,0.235975878795829,0.318880943585851
"CN 105223","Run1","Saline",0.450072537452218,0.199265329734,0.299588212821288
"CN 101811","Run1","Saline",0.579063385910251,0.112935111276096,0.299386421129758
"CN 84070","Run1","Saline",0.551693864978425,0.130340810293158,0.298882032167265
"CN 105215","Run1","Saline",0.351365980538697,0.254518939360209,0.293257755831604
"CN 101781","Run1","Saline",0.423210848835686,0.163094275217365,0.267140904664693
"CN 105266","Run1","Saline",0.624685275457066,0.026934474965794,0.266034795162303
"CN 101716","Run1","Saline",0.393014257766058,0.147321005762073,0.245598306563667
"CN 101816","Run1","Saline",0.330866010051425,0.166581123743113,0.232295078266438
"CN 43435","Run1","Saline",0.646305039452825,-0.046061071773978,0.230885372716743
"CN 101783","Run1","Saline",0.711662313082581,-0.0992653278212488,0.225105728540283
"CN 34005","Run1","Saline",NA,0.222632833979503,0.222632833979503
"CN 101842","Run1","Saline",-0.0217124332566268,0.382802648063737,0.220996615535591
"CN 101740","Run1","Saline",0.24078256199155,0.197331925649963,0.214712180186598
"CN 101702","Run1","Saline",0.398352787182451,0.0907387846316827,0.21378438565199
"CN 101757","Run1","Saline",0.190931557844647,0.219877961984374,0.208299400328483
"CN 101820","Run1","Saline",0.2966406942997,0.149150151797791,0.208146368798555
"CN 101774","Run1","Saline",0.0725506025872145,0.296252016046927,0.206771450663042
"CN 101817","Run1","Saline",-0.012497021889276,0.349081466740359,0.204450071288505
"CN 105246","Run1","Saline",0.0848159867342137,0.272298256484761,0.197305348584542
"CN 39622","Run1","Saline",0.276865328321087,0.13889920559715,0.194085654686725
"CN 105186","Run1","Saline",0.0627747473336896,0.26854918533329,0.18623941013345
"CN 101847","Run1","Saline",0.238077484434541,0.149595009847449,0.184987999682286
"CN 101780","Run1","Saline",0.116978482802387,0.201942961000756,0.167957169721408
"CN 101797","Run1","Saline",0.343709057159573,0.0482802370669482,0.166451765103998
"CN 33061","Run1","Saline",NA,0.165645403586149,0.165645403586149
"CN 84073","Run1","Saline",0.0493947238836169,0.239434454644119,0.163418562339918
"CN 105187","Run1","Saline",0.349627384705766,0.0368570887264248,0.161965207118161
"CN 101802","Run1","Saline",0.165646957972362,0.159047393479219,0.161687219276476
"CN 105258","Run1","Saline",0.220768442633796,0.120189725481351,0.160421212342329
"CN 101766","Run1","Saline",0.0796773250529763,0.213038662264159,0.159694127379686
"CN 101711","Run1","Saline",0.364217278710321,0.0229479234359205,0.159455665545681
"CN 30466","Run1","Saline",NA,0.159232912411189,0.159232912411189
"CN 105219","Run1","Saline",0.256232181013098,0.0929228288856554,0.158246569736632
"CN 101814","Run1","Saline",-0.0234261818563503,0.276743096528485,0.156675385174551
"CN 105210","Run1","Saline",0.125852503178083,0.17698528844501,0.156532174338239
"CN 43440","Run1","Saline",NA,0.156413515509762,0.156413515509762
