"Week","Title","Treatment","n","min","max","mean","sd"
"Week 3","ARI1","Control",59,-0.002,0.0023,-3e-04,9e-04
"Week 3","ARI1","Saline",1514,-0.0031,0.0023,-4e-04,0.001
"Week 3","ARI2","Control",59,-0.1042,0.1189,-0.0178,0.0482
"Week 3","ARI2","Saline",1541,-0.1964,0.1324,-0.0199,0.0545
"Week 3","CCI","Control",58,6.8094,30.6271,14.4407,5.4587
"Week 3","CCI","Saline",1485,5.1184,38.3418,20.3586,5.7081
"Week 3","CPHLT","Control",60,21.8107,29.0485,25.4513,1.893
"Week 3","CPHLT","Saline",1529,20.0331,30.7729,25.2658,1.8073
"Week 3","CRI1","Control",59,0.0159,0.0459,0.0316,0.007
"Week 3","CRI1","Saline",1535,0.0112,0.0488,0.0283,0.0064
"Week 3","CRI2","Control",60,0.0156,0.0458,0.0315,0.0073
"Week 3","CRI2","Saline",1526,0.0109,0.0499,0.028,0.0069
"Week 3","NDVI","Control",59,0.6192,0.719,0.669,0.0264
"Week 3","NDVI","Saline",1533,0.5874,0.7392,0.662,0.0271
"Week 3","WBI","Control",58,0.9535,1.0013,0.9804,0.0113
"Week 3","WBI","Saline",1535,0.9536,1.0207,0.9835,0.0115
"Week 6","ARI1","Control",28,-0.0023,9e-04,-7e-04,7e-04
"Week 6","ARI1","Saline",689,-0.0023,0.0037,5e-04,0.0012
"Week 6","ARI2","Control",29,-0.1254,0.0488,-0.0374,0.0388
"Week 6","ARI2","Saline",696,-0.1442,0.2073,0.0306,0.0634
"Week 6","CCI","Control",28,8.1173,22.5396,14.8121,3.871
"Week 6","CCI","Saline",681,3.5758,55.2715,26.1961,10.376
"Week 6","CPHLT","Control",29,22.024,30.0984,25.495,1.827
"Week 6","CPHLT","Saline",685,19.903,31.2364,25.4779,2.144
"Week 6","CRI1","Control",28,0.0195,0.0462,0.0298,0.0068
"Week 6","CRI1","Saline",685,0.0105,0.0457,0.0279,0.0063
"Week 6","CRI2","Control",30,0.0104,0.0484,0.0292,0.0085
"Week 6","CRI2","Saline",683,0.0143,0.0473,0.0285,0.0065
"Week 6","NDVI","Control",29,0.622,0.7246,0.6655,0.0271
"Week 6","NDVI","Saline",697,0.5726,0.7457,0.66,0.0327
"Week 6","WBI","Control",27,0.9629,0.9899,0.9749,0.0073
"Week 6","WBI","Saline",699,0.9563,1.0168,0.986,0.0111
