"Trait","H2","Sigma_G","vdelta_BLUE"
"ECSt.mAU",0.146693865861932,3.60374608547377e-10,4.19253882572716e-09
"FmPrime",0.762044278085077,81015.8425004675,50595.9662532686
"FoPrime",0.685239919715879,15711.1778250418,14433.635435655
"FvP_over_FmP",0.402875121047233,0.000251038950534774,0.000744159145696824
"gH.",0.142195389502072,418.72989156074,5052.04047461562
"NPQt",0.386527594207778,0.019340524731653,0.0613921407641243
"Phi2",0.568297175316325,0.000815573186706667,0.00123908850414946
"PhiNO",0.750977170011315,0.000992210120430331,0.000658030582019561
"PhiNPQ",0.352387217038604,0.000502494227544214,0.0018469551072637
"PS1.Active.Centers",0.183032698350791,0.129637187733512,1.1572723825888
"PS1.Open.Centers",0.247597905186815,0.0207632011878045,0.126190696621157
"PS1.Over.Reduced.Centers",0.17617796846212,0.0394588707556954,0.369025563774019
"PS1.Oxidized.Centers",0,0,0.138331080433913
"qL",0.816376377146244,0.0109424704402186,0.00492247478357188
"SPAD",0.563459030669983,6.5488717312999,10.1475019761429
"vH.",0.307806675507135,3.97684146266308e-05,0.000178861820230928
