"Week","Trait","Treatment","n","min","max","mean","sd"
"Week 3","ECSt.mAU","Control",61,0.00013,0.00052,0.000227672131147541,7.7493380644516e-05
"Week 3","ECSt.mAU","Saline",1485,-9e-05,0.00063,0.000216710437710438,8.77540804229238e-05
"Week 3","FmPrime","Control",60,3278.65,5303.36,4067.96733333333,392.176475654998
"Week 3","FmPrime","Saline",1550,3011.54,5628.28,4302.16851935484,511.794225033412
"Week 3","FoPrime","Control",58,707,1445,938.689655172414,186.014638821839
"Week 3","FoPrime","Saline",1554,650,1797,1034.66184041184,187.295350513506
"Week 3","FvP_over_FmP","Control",64,0.608,0.814,0.764519270833333,0.0414201540821194
"Week 3","FvP_over_FmP","Saline",1564,0.621,0.819,0.759421502592318,0.0294209735002392
"Week 3","NPQt","Control",68,-0.47,2.142,0.492454411780059,0.420770696365755
"Week 3","NPQt","Saline",1566,1.044e-09,1.977,0.555387330367192,0.261544198508148
"Week 3","PS1.Active.Centers","Control",55,-4.598,6.163,0.452636363636364,1.9167920477216
"Week 3","PS1.Active.Centers","Saline",1456,-5.033,6.119,1.12919745879121,1.46035881446889
"Week 3","PS1.Open.Centers","Control",49,-0.774,1.821,0.308938775510204,0.548334957247973
"Week 3","PS1.Open.Centers","Saline",1398,-1.278,1.907,0.357434907010014,0.574449147660037
"Week 3","PS1.Over.Reduced.Centers","Control",46,-2.279,3.395,0.427478260869565,1.09129284671654
"Week 3","PS1.Over.Reduced.Centers","Saline",1390,-2.427,3.423,0.254735971223022,0.881759670808135
"Week 3","PS1.Oxidized.Centers","Control",47,-0.691,1.407,0.229808510638298,0.583336566221604
"Week 3","PS1.Oxidized.Centers","Saline",1355,-1.543,1.975,0.295566420664207,0.52816022305055
"Week 3","Phi2","Control",64,0.427,0.666,0.599871875,0.0520754595000645
"Week 3","Phi2","Saline",1537,0.409,0.754,0.621058918686927,0.0502044993499094
"Week 3","PhiNO","Control",64,0.199,0.357,0.274541666666667,0.0310762417971158
"Week 3","PhiNO","Saline",1565,0.096,0.414,0.250614011391373,0.0471398824921021
