"Week","Trait","Treatment","n","min","max","mean","sd"
"Week 3","ECSt.mAU","Control",28,0.00013,0.00052,0.000234285714285714,8.987351488202e-05
"Week 3","ECSt.mAU","Saline",808,-9e-05,0.00063,0.000196212871287129,9.52217225155766e-05
"Week 3","FmPrime","Control",30,3278.65,5303.36,4322.73233333333,379.237220362349
"Week 3","FmPrime","Saline",846,3181.67,5628.28,4645.98160756501,345.716830631701
"Week 3","FoPrime","Control",29,913,1445,1096.24137931034,127.548213621476
"Week 3","FoPrime","Saline",847,808,1797,1139.32231404959,145.583439425053
"Week 3","FvP_over_FmP","Control",33,0.608,0.777,0.736776767676768,0.0397764416639776
"Week 3","FvP_over_FmP","Saline",853,0.621,0.81,0.754104144525643,0.0276644062272394
"Week 3","NPQt","Control",34,0.399,2.142,0.768182352941176,0.401176542767674
"Week 3","NPQt","Saline",854,0.09007,1.977,0.599828251767384,0.251210607406676
"Week 3","PS1.Active.Centers","Control",29,-4.598,6.163,0.558551724137931,2.55927515667742
"Week 3","PS1.Active.Centers","Saline",810,-5.033,6.119,1.0620024691358,1.76101276063905
"Week 3","PS1.Open.Centers","Control",23,-0.523,0.99,0.150173913043478,0.375843614984878
"Week 3","PS1.Open.Centers","Saline",766,-1.278,1.891,0.314432114882507,0.56124597146316
"Week 3","PS1.Over.Reduced.Centers","Control",24,-2.279,3.395,0.60025,1.15936092778287
"Week 3","PS1.Over.Reduced.Centers","Saline",787,-2.427,3.423,0.320627700127065,0.957285970814756
"Week 3","PS1.Oxidized.Centers","Control",25,-0.611,1.407,0.24464,0.617028624403547
"Week 3","PS1.Oxidized.Centers","Saline",764,-1.543,1.975,0.281596858638743,0.598042547297482
"Week 3","Phi2","Control",31,0.427,0.621,0.564448387096774,0.0437071990330177
"Week 3","Phi2","Saline",850,0.409,0.725,0.6130791368884,0.0498234828759914
"Week 3","PhiNO","Control",33,0.199,0.357,0.261560606060606,0.0363760218017475
"Week 3","PhiNO","Saline",856,0.096,0.378,0.245020574941043,0.0383178918152784
"Week 3","PhiNPQ","Control",32,0.00323,0.277,0.168274895833333,0.0498404516294425
"Week 3","PhiNPQ","Saline",856,0.00323,0.416,0.142686170571666,0.0490755072584703
"Week 3","SPAD","Control",33,33.478,53.457,42.6547050505051,4.72870886492022
"Week 3","SPAD","Saline",851,30.626,59.435,46.6274296031607,4.47391725031614
"Week 3","gH.","Control",26,2.056,479.888,176.794076923077,145.202142013105
